Index,Sentiment
1,HATE
2,HATE
3,HATE
4,HATE
5,ROMANTIC
6,ROMANTIC
7,HATE
8,HATE
9,HATE
10,ROMANTIC
11,ROMANTIC
12,HATE
13,ROMANTIC
14,HATE
15,ROMANTIC
16,ROMANTIC
17,ROMANTIC
18,HATE
19,ROMANTIC
20,ROMANTIC
21,ROMANTIC
22,ROMANTIC
23,ROMANTIC
24,ROMANTIC
25,ROMANTIC
26,HATE
27,ROMANTIC
28,HATE
29,ROMANTIC
30,ROMANTIC
31,ROMANTIC
32,ROMANTIC
33,ROMANTIC
34,HATE
35,HATE
36,ROMANTIC
37,HATE
38,ROMANTIC
39,HATE
40,ROMANTIC
41,ROMANTIC
42,ROMANTIC
43,ROMANTIC
44,HATE
45,ROMANTIC
46,HATE
47,ROMANTIC
48,ROMANTIC
49,ROMANTIC
50,HATE
51,ROMANTIC
52,HATE
53,HATE
54,ROMANTIC
55,ROMANTIC
56,ROMANTIC
57,ROMANTIC
58,ROMANTIC
59,ROMANTIC
60,ROMANTIC
61,HATE
62,HATE
63,HATE
64,HATE
65,HATE
66,ROMANTIC
67,ROMANTIC
68,ROMANTIC
69,ROMANTIC
70,HATE
71,ROMANTIC
72,ROMANTIC
73,ROMANTIC
74,HATE
75,HATE
76,ROMANTIC
77,ROMANTIC
78,HATE
79,HATE
80,ROMANTIC
81,ROMANTIC
82,HATE
83,ROMANTIC
84,ROMANTIC
85,ROMANTIC
86,HATE
87,ROMANTIC
88,ROMANTIC
89,ROMANTIC
90,HATE
91,HATE
92,ROMANTIC
93,ROMANTIC
94,ROMANTIC
95,HATE
96,ROMANTIC
97,HATE
98,ROMANTIC
99,HATE
100,ROMANTIC
101,ROMANTIC
102,ROMANTIC
103,HATE
104,HATE
105,HATE
106,HATE
107,ROMANTIC
108,HATE
109,ROMANTIC
110,HATE
111,HATE
112,ROMANTIC
113,ROMANTIC
114,ROMANTIC
115,HATE
116,HATE
117,ROMANTIC
118,ROMANTIC
119,ROMANTIC
120,HATE
121,ROMANTIC
122,ROMANTIC
123,ROMANTIC
124,ROMANTIC
125,ROMANTIC
126,ROMANTIC
127,HATE
128,ROMANTIC
129,HATE
130,ROMANTIC
131,HATE
132,ROMANTIC
133,ROMANTIC
134,ROMANTIC
135,ROMANTIC
136,ROMANTIC
137,ROMANTIC
138,ROMANTIC
139,HATE
140,ROMANTIC
141,HATE
142,ROMANTIC
143,ROMANTIC
144,ROMANTIC
145,ROMANTIC
146,ROMANTIC
147,ROMANTIC
148,ROMANTIC
149,ROMANTIC
150,ROMANTIC
151,ROMANTIC
152,HATE
153,ROMANTIC
154,HATE
155,HATE
156,ROMANTIC
157,ROMANTIC
158,ROMANTIC
159,HATE
160,HATE
161,ROMANTIC
162,ROMANTIC
163,HATE
164,HATE
165,HATE
166,ROMANTIC
167,ROMANTIC
168,ROMANTIC
169,ROMANTIC
170,HATE
171,HATE
172,ROMANTIC
173,ROMANTIC
174,HATE
175,ROMANTIC
176,HATE
177,HATE
178,HATE
179,ROMANTIC
180,ROMANTIC
181,ROMANTIC
182,ROMANTIC
183,HATE
184,ROMANTIC
185,ROMANTIC
186,HATE
187,ROMANTIC
188,ROMANTIC
189,HATE
190,HATE
191,HATE
192,HATE
193,HATE
194,HATE
195,HATE
196,HATE
197,ROMANTIC
198,HATE
199,ROMANTIC
200,ROMANTIC
201,HATE
202,HATE
203,HATE
204,ROMANTIC
205,HATE
206,ROMANTIC
207,ROMANTIC
208,ROMANTIC
209,HATE
210,ROMANTIC
211,ROMANTIC
212,HATE
213,HATE
214,ROMANTIC
215,ROMANTIC
216,ROMANTIC
217,ROMANTIC
218,ROMANTIC
219,ROMANTIC
220,ROMANTIC
221,ROMANTIC
222,HATE
223,ROMANTIC
224,HATE
225,ROMANTIC
226,ROMANTIC
227,ROMANTIC
228,ROMANTIC
229,ROMANTIC
230,ROMANTIC
231,HATE
232,ROMANTIC
233,HATE
234,ROMANTIC
235,ROMANTIC
236,ROMANTIC
237,ROMANTIC
238,ROMANTIC
239,ROMANTIC
240,ROMANTIC
241,ROMANTIC
242,ROMANTIC
243,ROMANTIC
244,ROMANTIC
245,ROMANTIC
246,HATE
247,ROMANTIC
248,ROMANTIC
249,ROMANTIC
250,ROMANTIC
251,ROMANTIC
252,ROMANTIC
253,HATE
254,ROMANTIC
255,ROMANTIC
256,HATE
257,HATE
258,ROMANTIC
259,ROMANTIC
260,ROMANTIC
261,ROMANTIC
262,ROMANTIC
263,HATE
264,ROMANTIC
265,HATE
266,ROMANTIC
267,ROMANTIC
268,ROMANTIC
269,ROMANTIC
270,ROMANTIC
271,HATE
272,ROMANTIC
273,HATE
274,HATE
275,HATE
276,ROMANTIC
277,ROMANTIC
278,ROMANTIC
279,ROMANTIC
280,ROMANTIC
281,HATE
282,ROMANTIC
283,ROMANTIC
284,HATE
285,HATE
286,ROMANTIC
287,ROMANTIC
288,ROMANTIC
289,HATE
290,ROMANTIC
291,ROMANTIC
292,ROMANTIC
293,ROMANTIC
294,ROMANTIC
295,ROMANTIC
296,HATE
297,ROMANTIC
298,ROMANTIC
299,ROMANTIC
300,HATE
301,ROMANTIC
302,ROMANTIC
303,ROMANTIC
304,HATE
305,ROMANTIC
306,ROMANTIC
307,ROMANTIC
308,ROMANTIC
309,ROMANTIC
310,HATE
311,HATE
312,ROMANTIC
313,HATE
